,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
11,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
12,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
13,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
14,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
15,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
16,0.9926,0.9889,0.9926,0.9963,0.9926,0.9926,0.9667,0.8413,0.9889,0.9889,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,1.0,0.9963,0.9889,0.9889,0.9926,0.9741,0.9741,0.9926,0.9926,0.9889,0.9852,0.9742,0.9926,0.9926,0.9926,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.8413,0.9742,0.9742
17,0.9963,0.9926,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,0.9926,0.9926,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,1.0,0.9926,0.9926,0.9963,0.9705,0.9705,0.9963,0.9963,0.9926,0.9889,0.9779,0.9963,0.9963,0.9963,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.845,0.9779,0.9779
18,0.9963,0.9926,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9889,0.9926,1.0,1.0,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9963,0.9779,0.9963,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.845,0.9779,0.9779
19,0.9963,0.9926,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9889,0.9926,1.0,1.0,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9963,0.9779,0.9963,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.845,0.9779,0.9779
20,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
21,0.9742,0.9778,0.9742,0.9778,0.9742,0.9742,0.9481,0.8229,0.9778,0.9778,0.9742,0.9742,0.9742,0.9742,0.9742,0.9742,0.9741,0.9705,0.9778,0.9778,0.9742,1.0,1.0,0.9742,0.9742,0.9778,0.9814,0.9557,0.9742,0.9742,0.9742,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.8229,0.9557,0.9557
22,0.9742,0.9778,0.9742,0.9778,0.9742,0.9742,0.9481,0.8229,0.9778,0.9778,0.9742,0.9742,0.9742,0.9742,0.9742,0.9742,0.9741,0.9705,0.9778,0.9778,0.9742,1.0,1.0,0.9742,0.9742,0.9778,0.9814,0.9557,0.9742,0.9742,0.9742,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.8229,0.9557,0.9557
23,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
