,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
12,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
13,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
14,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
15,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
16,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,0.988,0.988,0.994,0.994,0.994,0.994,0.994,0.994,1.0,1.0,0.988,0.988,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
17,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,0.988,0.988,0.994,0.994,0.994,0.994,0.994,0.994,1.0,1.0,0.988,0.988,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
18,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,1.0,1.0,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,1.0,1.0,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
19,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,1.0,1.0,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,1.0,1.0,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
20,0.0174,0.0175,0.0174,0.0174,0.0174,0.0174,0.0088,0.0142,0.0175,0.0175,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0175,0.0175,0.0175,0.0175,1.0,0.9701,0.9701,1.0,1.0,0.9851,0.9851,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8657,0.9552,0.9104
21,0.0175,0.0176,0.0175,0.0175,0.0175,0.0175,0.0088,0.0144,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0176,0.0176,0.0176,0.0176,0.9701,1.0,1.0,0.9701,0.9701,0.9848,0.9848,0.9254,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.8358,0.9254,0.8806
22,0.0175,0.0176,0.0175,0.0175,0.0175,0.0175,0.0088,0.0144,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0176,0.0176,0.0176,0.0176,0.9701,1.0,1.0,0.9701,0.9701,0.9848,0.9848,0.9254,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.8358,0.9254,0.8806
23,0.0174,0.0175,0.0174,0.0174,0.0174,0.0174,0.0088,0.0142,0.0175,0.0175,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0175,0.0175,0.0175,0.0175,1.0,0.9701,0.9701,1.0,1.0,0.9851,0.9851,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8657,0.9552,0.9104
24,0.0174,0.0175,0.0174,0.0174,0.0174,0.0174,0.0088,0.0142,0.0175,0.0175,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0175,0.0175,0.0175,0.0175,1.0,0.9701,0.9701,1.0,1.0,0.9851,0.9851,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8657,0.9552,0.9104
