,Sample combination,Bray_curtis_value
399,"(11, 37)",0.4
400,"(11, 38)",0.4
401,"(11, 39)",0.29
402,"(12, 13)",0.02
403,"(12, 14)",0.14
404,"(12, 15)",0.14
405,"(12, 16)",0.3
406,"(12, 17)",0.32
407,"(12, 18)",0.47
408,"(12, 19)",0.47
409,"(12, 20)",0.54
410,"(12, 21)",0.46
411,"(12, 22)",0.46
412,"(12, 23)",0.76
413,"(12, 24)",0.77
414,"(12, 25)",0.68
415,"(12, 26)",0.68
416,"(12, 27)",0.4
417,"(12, 28)",0.28
418,"(12, 29)",0.24
419,"(12, 30)",0.22
420,"(12, 31)",0.46
421,"(12, 32)",0.45
422,"(12, 33)",0.55
423,"(12, 34)",0.56
424,"(12, 35)",0.47
425,"(12, 36)",0.47
426,"(12, 37)",0.4
427,"(12, 38)",0.41
428,"(12, 39)",0.29
429,"(13, 14)",0.14
430,"(13, 15)",0.14
431,"(13, 16)",0.3
432,"(13, 17)",0.32
433,"(13, 18)",0.47
434,"(13, 19)",0.47
435,"(13, 20)",0.54
436,"(13, 21)",0.46
437,"(13, 22)",0.46
438,"(13, 23)",0.77
439,"(13, 24)",0.77
440,"(13, 25)",0.68
441,"(13, 26)",0.68
442,"(13, 27)",0.41
443,"(13, 28)",0.28
444,"(13, 29)",0.24
445,"(13, 30)",0.23
446,"(13, 31)",0.46
447,"(13, 32)",0.46
448,"(13, 33)",0.55
449,"(13, 34)",0.56
450,"(13, 35)",0.47
451,"(13, 36)",0.47
452,"(13, 37)",0.41
453,"(13, 38)",0.41
454,"(13, 39)",0.29
455,"(14, 15)",0.03
456,"(14, 16)",0.36
457,"(14, 17)",0.37
458,"(14, 18)",0.53
459,"(14, 19)",0.53
460,"(14, 20)",0.61
461,"(14, 21)",0.53
462,"(14, 22)",0.53
463,"(14, 23)",0.77
464,"(14, 24)",0.78
465,"(14, 25)",0.69
466,"(14, 26)",0.69
467,"(14, 27)",0.42
468,"(14, 28)",0.34
469,"(14, 29)",0.33
470,"(14, 30)",0.31
471,"(14, 31)",0.53
472,"(14, 32)",0.53
473,"(14, 33)",0.62
474,"(14, 34)",0.62
475,"(14, 35)",0.52
476,"(14, 36)",0.53
477,"(14, 37)",0.42
478,"(14, 38)",0.43
479,"(14, 39)",0.31
480,"(15, 16)",0.35
481,"(15, 17)",0.37
482,"(15, 18)",0.51
483,"(15, 19)",0.51
484,"(15, 20)",0.6
485,"(15, 21)",0.52
486,"(15, 22)",0.53
487,"(15, 23)",0.77
488,"(15, 24)",0.77
489,"(15, 25)",0.69
490,"(15, 26)",0.69
491,"(15, 27)",0.43
492,"(15, 28)",0.33
493,"(15, 29)",0.32
494,"(15, 30)",0.3
495,"(15, 31)",0.53
496,"(15, 32)",0.52
497,"(15, 33)",0.61
498,"(15, 34)",0.61
499,"(15, 35)",0.5
500,"(15, 36)",0.52
501,"(15, 37)",0.43
502,"(15, 38)",0.43
503,"(15, 39)",0.32
504,"(16, 17)",0.1
505,"(16, 18)",0.46
506,"(16, 19)",0.46
507,"(16, 20)",0.46
508,"(16, 21)",0.45
509,"(16, 22)",0.45
510,"(16, 23)",0.83
511,"(16, 24)",0.83
512,"(16, 25)",0.71
513,"(16, 26)",0.73
514,"(16, 27)",0.61
515,"(16, 28)",0.26
516,"(16, 29)",0.26
517,"(16, 30)",0.27
518,"(16, 31)",0.35
519,"(16, 32)",0.37
520,"(16, 33)",0.51
521,"(16, 34)",0.51
522,"(16, 35)",0.41
523,"(16, 36)",0.42
524,"(16, 37)",0.62
525,"(16, 38)",0.62
526,"(16, 39)",0.48
527,"(17, 18)",0.41
528,"(17, 19)",0.42
529,"(17, 20)",0.41
530,"(17, 21)",0.39
531,"(17, 22)",0.4
532,"(17, 23)",0.82
533,"(17, 24)",0.82
534,"(17, 25)",0.71
535,"(17, 26)",0.71
536,"(17, 27)",0.64
537,"(17, 28)",0.27
538,"(17, 29)",0.27
539,"(17, 30)",0.28
540,"(17, 31)",0.31
541,"(17, 32)",0.32
542,"(17, 33)",0.45
543,"(17, 34)",0.46
544,"(17, 35)",0.37
545,"(17, 36)",0.37
546,"(17, 37)",0.64
547,"(17, 38)",0.64
548,"(17, 39)",0.51
549,"(18, 19)",0.03
550,"(18, 20)",0.29
551,"(18, 21)",0.36
552,"(18, 22)",0.36
