,Sample combination,Bray_curtis_value
372,"(10, 38)",0.07
373,"(10, 39)",0.02
374,"(11, 12)",0.01
375,"(11, 13)",0.01
376,"(11, 14)",0.01
377,"(11, 15)",0.01
378,"(11, 16)",0.03
379,"(11, 17)",0.03
380,"(11, 18)",0.02
381,"(11, 19)",0.02
382,"(11, 20)",0.04
383,"(11, 21)",0.08
384,"(11, 22)",0.07
385,"(11, 23)",0.03
386,"(11, 24)",0.03
387,"(11, 25)",0.04
388,"(11, 26)",0.04
389,"(11, 27)",0.07
390,"(11, 28)",0.02
391,"(11, 29)",0.01
392,"(11, 30)",0.01
393,"(11, 31)",0.03
394,"(11, 32)",0.03
395,"(11, 33)",0.03
396,"(11, 34)",0.03
397,"(11, 35)",0.03
398,"(11, 36)",0.03
399,"(11, 37)",0.07
400,"(11, 38)",0.07
401,"(11, 39)",0.02
402,"(12, 13)",0.0
403,"(12, 14)",0.01
404,"(12, 15)",0.01
405,"(12, 16)",0.03
406,"(12, 17)",0.03
407,"(12, 18)",0.01
408,"(12, 19)",0.01
409,"(12, 20)",0.04
410,"(12, 21)",0.07
411,"(12, 22)",0.07
412,"(12, 23)",0.03
413,"(12, 24)",0.03
414,"(12, 25)",0.04
415,"(12, 26)",0.04
416,"(12, 27)",0.07
417,"(12, 28)",0.02
418,"(12, 29)",0.01
419,"(12, 30)",0.01
420,"(12, 31)",0.03
421,"(12, 32)",0.02
422,"(12, 33)",0.03
423,"(12, 34)",0.03
424,"(12, 35)",0.02
425,"(12, 36)",0.02
426,"(12, 37)",0.07
427,"(12, 38)",0.07
428,"(12, 39)",0.02
429,"(13, 14)",0.01
430,"(13, 15)",0.01
431,"(13, 16)",0.03
432,"(13, 17)",0.03
433,"(13, 18)",0.01
434,"(13, 19)",0.01
435,"(13, 20)",0.04
436,"(13, 21)",0.07
437,"(13, 22)",0.07
438,"(13, 23)",0.03
439,"(13, 24)",0.03
440,"(13, 25)",0.04
441,"(13, 26)",0.04
442,"(13, 27)",0.07
443,"(13, 28)",0.02
444,"(13, 29)",0.01
445,"(13, 30)",0.01
446,"(13, 31)",0.02
447,"(13, 32)",0.02
448,"(13, 33)",0.03
449,"(13, 34)",0.03
450,"(13, 35)",0.02
451,"(13, 36)",0.02
452,"(13, 37)",0.07
453,"(13, 38)",0.07
454,"(13, 39)",0.02
455,"(14, 15)",0.0
456,"(14, 16)",0.03
457,"(14, 17)",0.03
458,"(14, 18)",0.02
459,"(14, 19)",0.02
460,"(14, 20)",0.05
461,"(14, 21)",0.08
462,"(14, 22)",0.08
463,"(14, 23)",0.03
464,"(14, 24)",0.03
465,"(14, 25)",0.04
466,"(14, 26)",0.04
467,"(14, 27)",0.07
468,"(14, 28)",0.03
469,"(14, 29)",0.02
470,"(14, 30)",0.02
471,"(14, 31)",0.02
472,"(14, 32)",0.02
473,"(14, 33)",0.04
474,"(14, 34)",0.04
475,"(14, 35)",0.03
476,"(14, 36)",0.03
477,"(14, 37)",0.07
478,"(14, 38)",0.07
479,"(14, 39)",0.03
480,"(15, 16)",0.03
481,"(15, 17)",0.03
482,"(15, 18)",0.02
483,"(15, 19)",0.02
484,"(15, 20)",0.05
485,"(15, 21)",0.08
486,"(15, 22)",0.08
487,"(15, 23)",0.03
488,"(15, 24)",0.03
489,"(15, 25)",0.04
490,"(15, 26)",0.04
491,"(15, 27)",0.07
492,"(15, 28)",0.03
493,"(15, 29)",0.02
494,"(15, 30)",0.02
495,"(15, 31)",0.02
496,"(15, 32)",0.02
497,"(15, 33)",0.04
498,"(15, 34)",0.04
499,"(15, 35)",0.03
500,"(15, 36)",0.03
501,"(15, 37)",0.07
502,"(15, 38)",0.07
503,"(15, 39)",0.03
504,"(16, 17)",0.0
505,"(16, 18)",0.04
506,"(16, 19)",0.03
507,"(16, 20)",0.06
508,"(16, 21)",0.09
509,"(16, 22)",0.09
510,"(16, 23)",0.04
511,"(16, 24)",0.04
512,"(16, 25)",0.05
513,"(16, 26)",0.05
514,"(16, 27)",0.09
515,"(16, 28)",0.04
516,"(16, 29)",0.03
517,"(16, 30)",0.03
518,"(16, 31)",0.04
519,"(16, 32)",0.04
520,"(16, 33)",0.05
521,"(16, 34)",0.05
522,"(16, 35)",0.04
523,"(16, 36)",0.04
524,"(16, 37)",0.09
525,"(16, 38)",0.09
526,"(16, 39)",0.05
527,"(17, 18)",0.04
528,"(17, 19)",0.03
529,"(17, 20)",0.06
530,"(17, 21)",0.09
531,"(17, 22)",0.09
532,"(17, 23)",0.04
533,"(17, 24)",0.04
534,"(17, 25)",0.05
535,"(17, 26)",0.05
536,"(17, 27)",0.09
537,"(17, 28)",0.04
538,"(17, 29)",0.03
539,"(17, 30)",0.03
540,"(17, 31)",0.04
541,"(17, 32)",0.04
542,"(17, 33)",0.05
543,"(17, 34)",0.05
544,"(17, 35)",0.04
545,"(17, 36)",0.04
546,"(17, 37)",0.09
547,"(17, 38)",0.09
548,"(17, 39)",0.05
549,"(18, 19)",0.0
550,"(18, 20)",0.04
551,"(18, 21)",0.07
552,"(18, 22)",0.07
553,"(18, 23)",0.02
554,"(18, 24)",0.02
555,"(18, 25)",0.03
556,"(18, 26)",0.03
557,"(18, 27)",0.07
558,"(18, 28)",0.02
559,"(18, 29)",0.01
560,"(18, 30)",0.01
561,"(18, 31)",0.03
562,"(18, 32)",0.03
563,"(18, 33)",0.03
564,"(18, 34)",0.03
565,"(18, 35)",0.02
566,"(18, 36)",0.02
567,"(18, 37)",0.07
568,"(18, 38)",0.07
569,"(18, 39)",0.03
570,"(19, 20)",0.04
571,"(19, 21)",0.07
572,"(19, 22)",0.07
573,"(19, 23)",0.02
574,"(19, 24)",0.02
575,"(19, 25)",0.03
576,"(19, 26)",0.03
577,"(19, 27)",0.07
578,"(19, 28)",0.02
579,"(19, 29)",0.01
580,"(19, 30)",0.01
581,"(19, 31)",0.03
582,"(19, 32)",0.03
583,"(19, 33)",0.03
584,"(19, 34)",0.03
585,"(19, 35)",0.02
586,"(19, 36)",0.02
587,"(19, 37)",0.07
588,"(19, 38)",0.07
589,"(19, 39)",0.03
590,"(20, 21)",0.05
591,"(20, 22)",0.05
592,"(20, 23)",0.05
593,"(20, 24)",0.05
594,"(20, 25)",0.06
595,"(20, 26)",0.06
596,"(20, 27)",0.04
597,"(20, 28)",0.03
598,"(20, 29)",0.04
599,"(20, 30)",0.04
600,"(20, 31)",0.03
601,"(20, 32)",0.03
602,"(20, 33)",0.03
603,"(20, 34)",0.03
604,"(20, 35)",0.05
605,"(20, 36)",0.05
606,"(20, 37)",0.04
607,"(20, 38)",0.05
608,"(20, 39)",0.04
609,"(21, 22)",0.0
610,"(21, 23)",0.08
611,"(21, 24)",0.08
612,"(21, 25)",0.09
613,"(21, 26)",0.09
614,"(21, 27)",0.06
615,"(21, 28)",0.07
616,"(21, 29)",0.08
617,"(21, 30)",0.08
